RunID,m1,m2,k1,k2,alpha,beta_ray,omega1,omega2,zeta1,zeta2
162,1200,2400,200000,500000,4.719e-05,0.5629,9.7861251296661,19.0411419899084,0.0289910100252026,0.0152304270096648
163,1200,2400,220000,550000,2.904e-05,0.3464,10.2637746252941,19.9705181982801,0.0170239134031051,0.00896275638983775
164,1200,2400,220000,550000,3.267e-05,0.3897,10.2637746252941,19.9705181982801,0.0191519025784933,0.0100831009385675
165,1200,2400,220000,550000,3.63e-05,0.433,10.2637746252941,19.9705181982801,0.0212798917538814,0.0112034454872972
166,1200,2400,220000,550000,3.993e-05,0.4763,10.2637746252941,19.9705181982801,0.0234078809292696,0.0123237900360269
167,1200,2400,220000,550000,4.356e-05,0.5196,10.2637746252941,19.9705181982801,0.0255358701046577,0.0134441345847566
168,1200,2400,220000,550000,4.719e-05,0.5629,10.2637746252941,19.9705181982801,0.0276638592800459,0.0145644791334863
169,1200,2400,240000,600000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
170,1200,2400,240000,600000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
171,1200,2400,240000,600000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
172,1200,2400,240000,600000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.0118338340233839
173,1200,2400,240000,600000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164189
174,1200,2400,240000,600000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
175,1200,2400,260000,650000,2.904e-05,0.3464,11.1578993797904,21.7102421627168,0.0156846477492538,0.00829303410146025
176,1200,2400,260000,650000,3.267e-05,0.3897,11.1578993797904,21.7102421627168,0.0176452287179105,0.00932966336414278
177,1200,2400,260000,650000,3.63e-05,0.433,11.1578993797904,21.7102421627168,0.0196058096865672,0.0103662926268253
178,1200,2400,260000,650000,3.993e-05,0.4763,11.1578993797904,21.7102421627168,0.0215663906552239,0.0114029218895078
179,1200,2400,260000,650000,4.356e-05,0.5196,11.1578993797904,21.7102421627168,0.0235269716238807,0.0124395511521904
180,1200,2400,260000,650000,4.719e-05,0.5629,11.1578993797904,21.7102421627168,0.0254875525925374,0.0134761804148729
181,1300,2600,160000,400000,2.904e-05,0.3464,8.40958771747796,16.3627739972042,0.0207176471876368,0.0108225897543123
182,1300,2600,160000,400000,3.267e-05,0.3897,8.40958771747796,16.3627739972042,0.0233073530860914,0.0121754134736013
183,1300,2600,160000,400000,3.63e-05,0.433,8.40958771747796,16.3627739972042,0.0258970589845459,0.0135282371928903
184,1300,2600,160000,400000,3.993e-05,0.4763,8.40958771747796,16.3627739972042,0.0284867648830005,0.0148810609121794
185,1300,2600,160000,400000,4.356e-05,0.5196,8.40958771747796,16.3627739972042,0.0310764707814551,0.0162338846314684
186,1300,2600,160000,400000,4.719e-05,0.5629,8.40958771747796,16.3627739972042,0.0336661766799097,0.0175867083507575
187,1300,2600,180000,450000,2.904e-05,0.3464,8.91971475301765,17.355342678669,0.019547175561946,0.0102316354265539
188,1300,2600,180000,450000,3.267e-05,0.3897,8.91971475301765,17.355342678669,0.0219905725071893,0.0115105898548732
189,1300,2600,180000,450000,3.63e-05,0.433,8.91971475301765,17.355342678669,0.0244339694524325,0.0127895442831924
190,1300,2600,180000,450000,3.993e-05,0.4763,8.91971475301765,17.355342678669,0.0268773663976758,0.0140684987115117
191,1300,2600,180000,450000,4.356e-05,0.5196,8.91971475301765,17.355342678669,0.029320763342919,0.0153474531398309
192,1300,2600,180000,450000,4.719e-05,0.5629,8.91971475301765,17.355342678669,0.0317641602881623,0.0166264075681501
193,1300,2600,200000,500000,2.904e-05,0.3464,9.40220489951401,18.2941374791073,0.0185577309811934,0.00973314472853332
194,1300,2600,200000,500000,3.267e-05,0.3897,9.40220489951401,18.2941374791073,0.0208774473538426,0.0109497878196
195,1300,2600,200000,500000,3.63e-05,0.433,9.40220489951401,18.2941374791073,0.0231971637264918,0.0121664309106667
196,1300,2600,200000,500000,3.993e-05,0.4763,9.40220489951401,18.2941374791073,0.025516880099141,0.0133830740017333
197,1300,2600,200000,500000,4.356e-05,0.5196,9.40220489951401,18.2941374791073,0.0278365964717902,0.0145997170928
198,1300,2600,200000,500000,4.719e-05,0.5629,9.40220489951401,18.2941374791073,0.0301563128444394,0.0158163601838667
199,1300,2600,220000,550000,2.904e-05,0.3464,9.86111569091904,19.1870532577289,0.0177071189045639,0.00930551628466968
200,1300,2600,220000,550000,3.267e-05,0.3897,9.86111569091904,19.1870532577289,0.0199205087676343,0.0104687058202534
201,1300,2600,220000,550000,3.63e-05,0.433,9.86111569091904,19.1870532577289,0.0221338986307048,0.0116318953558371
202,1300,2600,220000,550000,3.993e-05,0.4763,9.86111569091904,19.1870532577289,0.0243472884937753,0.0127950848914208
203,1300,2600,220000,550000,4.356e-05,0.5196,9.86111569091904,19.1870532577289,0.0265606783568458,0.0139582744270045
204,1300,2600,220000,550000,4.719e-05,0.5629,9.86111569091904,19.1870532577289,0.0287740682199163,0.0151214639625882
205,1300,2600,240000,600000,2.904e-05,0.3464,10.2995994274988,20.0402235348155,0.0169657381548014,0.00893360221308792
206,1300,2600,240000,600000,3.267e-05,0.3897,10.2995994274988,20.0402235348155,0.0190864554241516,0.0100503024897239
207,1300,2600,240000,600000,3.63e-05,0.433,10.2995994274988,20.0402235348155,0.0212071726935018,0.0111670027663599
208,1300,2600,240000,600000,3.993e-05,0.4763,10.2995994274988,20.0402235348155,0.023327889962852,0.0122837030429959
209,1300,2600,240000,600000,4.356e-05,0.5196,10.2995994274988,20.0402235348155,0.0254486072322021,0.0134004033196319
210,1300,2600,240000,600000,4.719e-05,0.5629,10.2995994274988,20.0402235348155,0.0275693245015523,0.0145171035962679
211,1300,2600,260000,650000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
212,1300,2600,260000,650000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
213,1300,2600,260000,650000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
214,1300,2600,260000,650000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.0118338340233839
215,1300,2600,260000,650000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164188
216,1300,2600,260000,650000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
